Significant Wave Height (m),Peak Wave Period (s),Mean Spring Tidal Range (m),Extreme Storm Surge (m),Beach Width (m),Beach Face Slope (-),Median Grain Size D50 (mm),Dune Crest Elevation (m),Nearshore Bathymetric Slope (-),Historical Shoreline Change Rate (m/yr),Sediment Budget Balance (m3/m/yr),Vegetation Cover (%),Relative Sea-Level Rise (mm/yr),Coastal Erosion Risk Class
2.69,14.28,1.7,1.53,30.25,0.0388,0.566,2.96,0.035,-1.86,-7.67,3.4,3.68,High Susceptibility
NaN,11.38,1.3,1.03,64.92,0.0598,0.774,6.25,0.043,NaN,16.96,47.8,1.76,Low Susceptibility
2.85,13.35,2.34,1.81,32.03,0.0751,1.06,5.06,0.0535,-1.98,NaN,0.0,4.48,High Susceptibility
1.68,10.62,3.56,0.7,117.87,0.0266,0.495,10.05,0.0246,1.29,8.75,67.9,1.86,Stable or Accreting
2.92,13.36,0.41,NaN,70.25,0.0365,0.395,6.62,0.0249,-1.63,-8.24,19.3,3.28,Moderate Susceptibility
2.77,12.68,1.51,1.54,81.01,0.0689,1.241,8.75,0.0626,0.1,1.13,42.2,2.64,Low Susceptibility
1.47,11.18,4.07,1.49,NaN,NaN,NaN,10.38,0.0325,-1.73,-9.69,45.3,3.94,Low Susceptibility
2.95,12.11,0.78,1.47,45.84,0.0577,0.715,5.88,0.0412,-2.81,-14.4,12.9,3.59,Moderate Susceptibility
2.16,8.14,4.64,1.68,107.55,0.0367,0.708,8.41,0.0304,0.48,3.97,65.8,6.77,Stable or Accreting
1.84,8.38,4.49,1.34,90.46,0.041,0.659,8.87,0.0306,-1.09,1.1,47.3,5.01,Low Susceptibility
2.44,13.28,1.56,1.73,10.41,0.0483,0.486,0.94,0.037,-1.69,-5.81,0.0,5.51,Critical Erosion Hotspot
0.7,8.42,0.24,0.56,117.78,0.017,0.232,9.22,0.0131,3.6,19.35,56.6,4.01,Stable or Accreting
1.73,10.29,3.86,1.41,71.54,0.0485,0.644,6.1,0.0314,-1.7,-8.21,31.2,6.29,Moderate Susceptibility
2.12,9.4,0.93,1.51,73.08,0.0266,0.387,6.61,0.018,0.84,8.86,41.8,3.12,Stable or Accreting
2.83,13.53,0.78,1.91,43.14,0.0328,0.403,5.05,0.0203,-1.09,-2.14,40.2,4.19,Low Susceptibility
1.17,8.35,1.42,1.14,75.1,0.0309,0.19,5.27,0.0207,-1.78,-11.79,17.9,7.26,Moderate Susceptibility
1.55,7.91,0.28,1.69,NaN,0.0164,0.221,3.8,0.0162,-1.68,-6.13,18.8,6.14,Moderate Susceptibility
2.16,11.73,3.48,1.62,57.39,0.0477,0.546,5.31,0.0349,-0.93,-4.74,23.3,7.06,Moderate Susceptibility
2.82,10.24,0.71,1.91,50.27,0.018,0.12,5.52,0.0269,-1.25,-6.49,19.2,6.27,Moderate Susceptibility
1.91,NaN,3.93,1.73,69.41,0.0533,0.808,7.6,0.039,-0.21,1.2,46.3,3.8,Low Susceptibility
1.24,9.97,1.1,1.19,106.54,0.0263,0.422,8.89,0.0241,-0.12,1.66,59.2,4.84,Low Susceptibility
2.27,8.03,4.96,1.09,42.67,0.0345,0.331,NaN,0.0217,-0.57,3.55,43.1,2.93,Moderate Susceptibility
2.4,10.99,0.48,2.05,NaN,0.015,0.163,2.97,0.0122,-2.66,-16.77,7.9,5.83,High Susceptibility
2.28,11.14,0.27,NaN,43.05,0.0198,0.197,3.55,0.0223,-1.81,-7.37,1.1,5.45,High Susceptibility
0.92,8.44,1.25,1.05,65.49,0.015,0.196,5.76,0.0127,0.94,7.78,45.5,5.89,Low Susceptibility
2.47,12.82,0.45,1.53,78.39,NaN,0.742,7.54,0.0408,-2.13,-7.15,24.1,3.15,Moderate Susceptibility
1.62,9.44,2.91,0.91,82.2,0.0248,0.403,5.72,0.0243,0.71,3.06,35.4,3.87,Low Susceptibility
3.53,11.21,0.86,1.74,62.32,0.0381,0.322,7.54,0.0224,-0.44,0.47,42.9,3.44,Low Susceptibility
2.35,10.5,NaN,1.57,49.63,0.0333,0.368,4.61,0.0268,-0.59,NaN,27.0,5.29,Moderate Susceptibility
1.28,7.96,0.82,1.49,93.17,0.0242,0.395,9.62,0.0238,1.39,8.59,50.5,4.84,Stable or Accreting
1.79,10.74,4.28,1.5,68.48,0.0302,0.365,4.3,0.0321,0.78,7.25,24.1,7.36,Moderate Susceptibility
2.66,9.77,2.22,1.7,47.65,NaN,1.241,6.94,0.0647,-1.51,-4.85,8.1,3.73,Moderate Susceptibility
NaN,13.05,3.85,1.69,36.03,0.0621,0.888,2.8,0.0474,-1.25,5.23,21.0,4.88,High Susceptibility
1.7,11.18,NaN,1.09,30.67,0.034,0.268,2.06,0.0254,-4.32,-13.75,0.0,7.76,Critical Erosion Hotspot
2.88,12.79,0.51,2.41,NaN,0.045,0.547,5.33,0.0395,-2.96,-8.82,1.4,7.7,High Susceptibility
1.63,9.71,2.89,1.61,62.2,0.0312,0.368,4.74,0.0295,-1.39,-4.18,26.2,6.77,Moderate Susceptibility
1.8,9.78,5.04,1.06,62.66,0.0466,0.574,NaN,0.0282,0.97,-0.96,35.1,7.66,Moderate Susceptibility
2.76,13.38,0.53,2.03,56.52,0.0234,0.336,5.68,NaN,-0.9,-8.99,49.9,6.1,Moderate Susceptibility
1.56,8.25,NaN,1.9,8.0,0.0262,0.217,0.8,0.0109,-3.09,-8.13,NaN,8.46,Critical Erosion Hotspot
2.39,10.32,0.89,1.55,NaN,0.0509,0.494,5.78,0.0338,-1.87,-8.62,26.6,2.62,Moderate Susceptibility
2.51,8.96,4.0,1.11,93.29,0.0615,0.744,10.48,0.036,1.87,6.05,NaN,3.79,Stable or Accreting
1.7,7.74,1.12,1.24,83.52,NaN,0.214,6.81,0.0103,1.85,10.45,47.6,NaN,Stable or Accreting
3.71,15.95,0.2,NaN,8.0,NaN,NaN,2.69,0.0351,NaN,-6.52,0.0,3.46,High Susceptibility
NaN,12.55,0.75,1.56,61.25,0.039,0.603,6.42,0.0362,-1.53,-2.37,22.9,3.18,Low Susceptibility
3.23,15.07,1.14,1.92,45.12,0.0331,0.47,6.27,0.0311,-3.73,-20.07,3.6,2.44,High Susceptibility
2.66,11.93,2.24,2.02,67.42,0.0456,0.518,6.41,0.0306,0.14,0.96,34.2,6.46,Moderate Susceptibility
2.77,9.18,0.26,2.57,8.0,0.0262,0.211,0.8,0.0174,-4.54,-17.74,0.0,9.6,Critical Erosion Hotspot
2.06,10.0,0.57,1.93,8.0,0.0244,0.226,0.8,0.0191,-3.31,-16.15,0.0,6.8,Critical Erosion Hotspot
1.46,12.36,1.45,0.68,83.01,0.0719,1.007,9.88,0.0497,-2.39,-14.04,NaN,4.72,Moderate Susceptibility
0.9,6.09,0.2,1.11,100.76,0.0215,0.33,7.52,0.0231,1.47,7.51,54.5,4.64,Stable or Accreting
1.72,11.3,0.2,NaN,NaN,NaN,0.388,7.81,0.0213,-0.1,-0.48,51.5,NaN,Low Susceptibility
1.73,11.97,0.94,1.28,75.9,0.0195,NaN,5.24,0.0232,1.69,9.22,42.5,7.43,Low Susceptibility
1.47,9.9,3.19,0.4,NaN,0.0181,0.242,7.91,0.0112,1.77,9.24,45.6,3.84,Stable or Accreting
2.41,15.26,1.34,1.71,NaN,0.0646,0.904,4.4,0.0566,0.6,5.34,24.3,4.87,Moderate Susceptibility
2.66,10.49,3.87,1.55,21.33,0.0354,0.366,1.98,0.0353,-1.64,-8.21,0.0,6.2,Critical Erosion Hotspot
2.68,11.24,0.64,1.83,22.44,0.0262,0.183,0.96,0.0163,-3.18,-7.67,0.0,6.58,Critical Erosion Hotspot
1.39,6.98,4.48,1.16,76.48,0.0224,0.366,6.2,0.0315,1.86,NaN,31.6,4.16,Low Susceptibility
2.32,11.56,3.17,1.24,NaN,0.0245,0.421,3.22,0.0236,-1.54,-7.46,14.3,NaN,Moderate Susceptibility
2.58,12.93,0.84,2.08,68.18,0.0462,0.503,NaN,0.0303,-0.54,NaN,46.6,5.57,Moderate Susceptibility
1.39,8.8,3.29,0.84,NaN,NaN,NaN,5.79,0.0218,-1.66,-9.66,38.9,5.73,Low Susceptibility
1.94,10.31,0.8,1.28,NaN,0.0278,0.329,5.4,0.0213,NaN,NaN,38.7,5.09,Moderate Susceptibility
2.14,11.56,0.64,1.49,35.58,0.0548,0.727,2.81,0.0345,-2.76,-5.24,0.0,7.49,High Susceptibility
1.29,8.46,2.86,0.79,81.31,0.0294,0.571,7.93,0.0278,0.44,8.49,37.6,3.51,Stable or Accreting
NaN,7.21,0.68,1.23,106.57,0.0228,0.214,8.12,NaN,1.82,9.83,64.8,4.41,Stable or Accreting
3.0,11.13,NaN,1.75,25.63,0.0347,0.355,5.39,0.0357,-3.12,-13.67,0.0,3.2,High Susceptibility
2.04,11.99,NaN,1.47,58.0,0.041,0.42,5.19,0.0283,-3.76,-9.51,5.3,7.35,High Susceptibility
2.9,13.78,1.85,1.89,83.0,0.0522,0.494,8.3,0.0453,1.65,8.41,42.2,4.69,Low Susceptibility
1.79,9.82,1.48,1.34,52.25,0.0274,NaN,2.89,0.0265,3.6,18.77,6.2,1.8,Low Susceptibility
3.24,13.85,0.2,1.73,9.7,0.0218,0.191,1.05,0.0189,-3.12,-14.85,0.0,6.04,Critical Erosion Hotspot
1.62,9.72,0.65,1.74,8.0,0.0359,0.548,0.8,0.0244,-3.73,NaN,0.0,8.66,Critical Erosion Hotspot
1.03,5.85,1.0,1.43,35.38,0.0244,0.296,2.54,0.0261,-2.21,-8.66,18.3,NaN,High Susceptibility
1.47,11.01,4.44,1.06,50.85,0.0432,0.449,4.74,0.0293,0.35,NaN,16.5,NaN,Low Susceptibility
2.13,12.84,0.27,1.9,46.35,0.0272,0.274,5.14,0.0209,-2.79,-9.8,7.0,9.04,High Susceptibility
2.96,12.72,0.75,1.77,89.55,0.0489,0.824,9.62,0.0439,-1.57,-4.04,39.8,4.01,Low Susceptibility
2.24,9.44,3.07,NaN,70.57,0.0333,0.443,7.12,0.0272,1.1,7.54,37.6,5.43,Low Susceptibility
2.04,10.86,5.39,1.52,91.76,0.0152,0.303,8.01,0.0188,-0.59,-0.32,55.0,6.47,Low Susceptibility
NaN,10.13,0.2,1.71,12.49,0.0316,0.47,0.8,0.024,NaN,-13.77,0.0,8.86,Critical Erosion Hotspot
2.48,8.71,0.2,2.1,15.65,NaN,0.25,2.17,0.0208,-3.52,-11.18,0.0,7.53,Critical Erosion Hotspot
2.53,10.18,0.74,2.41,25.85,0.0371,0.308,1.44,0.0288,-1.2,NaN,14.6,8.0,Critical Erosion Hotspot
0.92,6.91,1.47,0.98,100.7,0.0196,0.12,6.17,0.0232,0.99,5.93,44.7,3.29,Stable or Accreting
2.78,14.08,NaN,1.39,78.48,0.075,1.305,9.89,0.065,0.54,NaN,30.3,1.71,Low Susceptibility
1.96,11.36,4.43,1.8,66.53,0.0313,0.429,7.3,0.0377,-0.44,0.37,41.4,NaN,Low Susceptibility
3.18,12.52,0.54,1.99,64.25,0.0185,0.18,5.65,0.0202,-0.29,-6.7,34.8,1.46,Low Susceptibility
2.42,11.66,4.35,1.12,53.17,NaN,0.512,4.2,0.0309,-0.9,0.23,19.6,5.37,Moderate Susceptibility
0.93,6.67,1.7,0.7,118.37,0.0421,0.656,8.11,0.03,1.21,6.8,77.1,6.99,Stable or Accreting
2.36,10.92,0.35,1.98,41.27,0.0342,0.39,4.99,0.0194,-2.65,-9.7,NaN,4.54,Moderate Susceptibility
2.64,12.3,0.78,2.1,54.61,0.0649,1.025,8.17,0.0484,-0.58,-2.57,41.7,3.96,Low Susceptibility
2.39,11.47,0.52,1.59,82.52,0.0237,0.402,8.76,NaN,0.26,NaN,62.7,2.01,Stable or Accreting
3.29,11.64,0.63,2.28,28.59,0.0944,NaN,5.18,0.0612,-4.39,-20.43,0.0,5.23,Critical Erosion Hotspot
0.64,6.62,2.7,1.18,44.11,0.0223,0.265,2.25,0.015,-1.11,-1.39,14.0,6.8,High Susceptibility
2.14,9.37,0.82,1.19,24.19,0.0312,0.232,3.14,0.0275,-2.69,-8.41,0.0,6.31,High Susceptibility
2.73,NaN,2.38,2.11,88.15,0.0495,0.744,8.3,0.0394,-1.53,-2.72,28.3,6.88,Moderate Susceptibility
0.62,9.16,3.69,1.1,50.98,0.0322,0.432,4.77,0.0274,0.52,5.33,NaN,2.19,Stable or Accreting
2.32,10.79,3.56,1.71,77.8,0.0348,0.403,NaN,0.0317,-0.54,0.94,33.1,5.91,Moderate Susceptibility
3.23,11.88,0.27,2.22,49.51,0.0416,0.348,NaN,0.0325,-3.47,-13.48,0.0,10.19,High Susceptibility
1.31,8.26,3.09,1.16,55.58,0.0196,0.336,5.59,0.021,1.97,5.56,30.4,4.38,Stable or Accreting
2.43,10.77,NaN,1.68,64.91,0.0272,0.199,5.56,0.024,-2.03,-10.39,9.7,7.41,Moderate Susceptibility
1.67,NaN,2.29,1.13,83.41,0.0301,0.402,6.89,0.0221,2.56,7.35,39.9,4.28,Stable or Accreting
1.96,12.28,4.38,NaN,74.7,0.0279,0.17,6.93,0.0172,-0.11,2.54,33.8,2.17,Low Susceptibility
2.67,11.76,0.33,1.56,39.98,0.042,0.723,5.56,0.0433,-0.42,-4.2,18.8,2.06,Low Susceptibility
1.87,9.46,1.29,1.22,75.82,0.0266,0.216,4.92,0.0187,2.24,16.54,54.7,4.53,Stable or Accreting
1.33,7.8,2.52,0.87,NaN,0.0391,0.75,6.29,0.0322,NaN,5.53,13.0,1.88,Low Susceptibility
1.15,9.78,0.43,1.13,27.42,0.0153,0.172,0.8,0.0143,-1.22,-4.76,0.0,8.98,Critical Erosion Hotspot
2.04,8.8,3.81,0.98,60.23,0.0332,0.497,NaN,0.0248,-1.32,-7.85,20.1,5.22,Moderate Susceptibility
2.06,NaN,0.41,1.64,29.7,0.0186,0.227,2.92,0.0155,-1.51,NaN,NaN,5.49,Moderate Susceptibility
1.13,10.41,3.33,0.88,54.48,0.0296,NaN,4.57,0.0273,0.78,2.88,22.9,4.24,Low Susceptibility
1.08,9.32,5.12,0.34,56.73,0.0197,0.302,3.52,0.0266,0.67,6.04,20.9,5.0,Moderate Susceptibility
2.73,9.22,3.24,1.45,NaN,0.0384,0.474,5.81,0.0327,-0.12,-0.92,46.9,5.18,Moderate Susceptibility
1.49,10.11,0.22,0.96,47.82,0.0227,NaN,4.3,0.0176,-0.3,-5.97,37.6,4.77,Moderate Susceptibility
1.33,8.69,2.16,1.34,68.64,0.0289,0.251,6.59,0.0265,1.12,5.48,54.0,3.28,Stable or Accreting
2.92,13.52,0.76,1.55,15.02,0.0507,0.561,1.81,0.0317,-1.46,-4.44,6.0,3.5,High Susceptibility
3.53,10.71,0.46,2.23,56.52,0.0563,0.89,6.19,0.0382,-2.19,-2.71,27.6,4.83,Moderate Susceptibility
1.27,8.05,1.78,1.17,120.33,0.0377,0.482,10.23,0.0253,2.75,15.48,64.6,2.66,Stable or Accreting
2.86,10.54,4.2,1.24,93.0,0.0342,0.421,8.98,0.0253,0.7,6.95,63.5,3.0,Stable or Accreting
0.79,8.86,0.9,0.85,53.03,0.0578,0.863,5.91,0.0523,0.3,-0.94,38.2,3.87,Stable or Accreting
0.89,7.28,1.41,0.71,72.93,0.0367,0.66,NaN,0.0214,1.32,NaN,41.5,5.26,Stable or Accreting
1.73,8.65,0.29,1.48,22.59,0.0246,0.149,2.93,0.0198,-1.7,-3.33,0.0,5.86,High Susceptibility
1.16,8.88,0.72,NaN,124.92,0.015,0.189,9.47,0.0174,3.6,22.0,55.0,3.61,Stable or Accreting
3.28,11.53,3.84,2.11,53.8,0.0486,0.653,4.88,0.0388,-0.78,-2.42,12.5,6.91,Moderate Susceptibility
2.74,12.25,NaN,1.81,29.89,0.043,0.508,3.14,0.037,-2.66,-14.44,0.0,5.42,High Susceptibility
2.52,12.37,4.57,NaN,NaN,0.0255,0.137,3.69,0.0127,-4.37,-20.01,0.0,6.07,High Susceptibility
2.82,12.4,0.25,1.94,33.28,0.0339,0.65,NaN,0.0393,0.4,5.48,21.0,3.6,Moderate Susceptibility
1.8,11.16,2.98,0.98,93.38,0.0352,0.531,8.04,0.0304,-0.73,-1.39,36.0,7.83,Moderate Susceptibility
1.39,8.2,1.78,1.29,87.29,0.0253,0.387,7.6,0.0228,1.73,6.99,50.1,NaN,Low Susceptibility
1.96,12.73,0.61,1.43,109.57,0.0506,NaN,NaN,NaN,0.8,3.7,75.4,2.66,Stable or Accreting
1.09,7.37,4.05,0.83,NaN,0.0341,0.553,8.47,0.0333,2.67,10.94,40.2,2.67,Stable or Accreting
1.91,10.8,4.88,1.36,70.58,0.0429,0.758,6.41,0.0327,1.37,6.17,51.5,NaN,Low Susceptibility
3.03,NaN,0.68,1.51,62.3,NaN,0.585,NaN,0.0344,0.32,1.6,33.6,0.88,Stable or Accreting
NaN,8.31,3.13,1.26,94.74,NaN,NaN,9.38,0.0278,0.91,7.45,68.5,NaN,Stable or Accreting
2.25,12.17,0.25,2.01,8.0,0.0235,0.12,0.8,0.0179,-2.88,-10.56,0.0,9.57,Critical Erosion Hotspot
2.94,11.59,0.66,1.51,19.81,0.0251,NaN,2.81,0.0233,1.01,8.31,NaN,1.59,Moderate Susceptibility
1.02,6.18,4.75,0.8,88.32,0.0274,0.281,7.89,0.0255,0.03,-1.13,66.9,3.32,Low Susceptibility
1.36,8.86,2.45,1.23,45.28,0.0201,0.12,3.29,0.0175,0.34,5.4,23.9,3.85,Low Susceptibility
2.08,11.39,0.84,1.69,43.29,0.0341,0.662,4.55,0.0303,-1.46,-4.95,29.6,6.99,Moderate Susceptibility
1.41,9.49,1.29,1.07,78.86,0.0245,0.258,5.38,0.0201,0.21,-3.32,67.6,6.49,Low Susceptibility
NaN,12.42,0.2,1.85,11.4,0.015,0.133,0.96,0.0153,-6.24,-23.06,0.0,7.88,Critical Erosion Hotspot
3.02,12.33,1.33,1.32,45.64,0.0206,0.138,4.1,NaN,0.45,10.27,30.3,2.15,Moderate Susceptibility
